Rk,Date,Tm,Opp,Rslt,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,#,Attendance,GmLen
1,2018-05-14,LAA,HOU,W 2-1,9.0,6,1,1,2,10,0,0,117,75,0,0,32,30,2,0,1,0,0,0,2,0,0,0,0,0,1.00,0.625,3.561,1.604,2,28229,147
2,2018-05-14,ARI,MIL,L 2-7,9.0,10,7,7,2,12,2,0,158,97,6,2,39,36,2,0,0,0,0,1,0,3,0,0,0,0,7.00,-0.156,-1.877,1.044,5,17390,186
3,2018-05-14,ATL,CHC,W 6-5,9.0,8,5,5,4,2,2,0,132,86,2,0,38,33,0,0,0,1,0,0,0,0,1,1,0,0,5.00,0.173,-0.259,1.869,4,35946,194
4,2018-05-14,BOS,OAK,L 5-6,9.0,11,6,6,0,7,3,0,154,98,0,0,37,37,1,1,0,0,0,0,1,0,0,0,0,0,6.00,-0.279,-1.006,.928,4,35249,160
5,2018-05-14,CHC,ATL,L 5-6,9.0,9,6,6,8,9,3,0,171,97,2,0,45,36,1,0,0,0,1,0,0,1,1,0,0,0,6.00,-0.328,-1.258,1.104,6,35946,194
6,2018-05-14,CIN,SFG,L 7-10,8.0,14,10,9,4,6,1,1,160,96,2,0,44,39,7,0,1,0,1,0,0,2,0,0,0,0,10.12,-0.443,-6.037,.505,4,36156,182
7,2018-05-14,CLE,DET,L 3-6,8.0,8,6,6,5,6,2,0,155,93,3,2,37,32,2,0,1,0,0,0,0,2,0,0,0,0,6.75,-0.158,-1.650,.858,3,17775,190
8,2018-05-14,COL,SDP,W 6-4,9.0,8,4,3,3,8,0,1,145,95,1,1,37,34,3,1,0,0,0,0,1,1,0,0,1,0,3.00,0.081,0.368,1.292,4,17245,175
9,2018-05-14,DET,CLE,W 6-3,9.0,7,3,2,3,8,1,1,150,92,1,0,38,35,1,1,0,0,0,0,0,0,0,0,0,1,2.00,0.341,1.894,1.005,5,17775,190
10,2018-05-14,HOU,LAA,L 1-2,8.0,4,2,2,2,10,0,0,130,84,0,0,28,26,0,0,0,0,0,0,2,1,0,0,0,0,2.25,0.125,2.054,.947,3,28229,147
11,2018-05-14,KCR,TBR,L 1-2,9.0,8,2,2,0,7,0,0,112,79,1,0,32,32,2,0,0,0,0,0,1,0,2,1,0,0,2.00,0.242,2.853,.887,2,,153
12,2018-05-14,MIL,ARI,W 7-2,9.0,5,2,2,4,6,0,0,134,78,0,0,36,31,1,0,0,0,0,1,0,0,0,0,0,0,2.00,0.343,3.122,1.233,3,17390,186
13,2018-05-14,MIN,SEA,L 0-1,9.0,6,1,1,1,8,0,0,136,85,0,0,36,33,4,0,0,1,1,0,0,0,0,0,0,0,1.00,0.303,3.700,1.336,4,16581,173
14,2018-05-14,OAK,BOS,W 6-5,9.0,9,5,4,1,4,2,1,115,84,1,0,37,36,1,0,0,0,0,0,1,1,0,0,0,2,4.00,0.221,-0.005,1.583,3,35249,160
15,2018-05-14,SDP,COL,L 4-6,9.0,11,6,6,3,5,3,0,138,95,0,0,40,37,0,0,1,0,0,0,1,1,0,0,0,0,6.00,-0.418,-1.632,.908,4,17245,175
16,2018-05-14,SEA,MIN,W 1-0,9.0,4,0,0,0,7,0,0,133,88,0,0,31,31,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.804,4.700,1.309,4,16581,173
